Timestamp,"Ein AfD-Politiker sagt: ''Niemand ist rechtspopulistisch, wenn er nicht nachts die Straßenseite wechseln will, weil illegale Einwanderer ihm den Weg versperren."" 

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ''Einen neuen Mercedes? Den können sich in Deutschland nur noch neu zugezogene Bürger leisten.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration ist die Mutter aller Probleme.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Viele Muslime leben rechtstreu sowie integriert und sind akzeptierte und geschätzte Mitglieder unserer Gesellschaft.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Deutschland verarmt, aber die Asylindustrie schwimmt in Geld.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""In Deutschland herrscht ein großer Fachkräftemangel. Migration bringt uns viele Fachkräfte, die wir dringend brauchen.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Wir sagen: Es geht darum, die Fluchtursachen zu beseitigen, damit sich die Menschen erst gar nicht auf den Weg nach Europa und nach Deutschland machen.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Im Brustton voller Überzeugung sage ich: Ja, wir wollen alles für unsere Heimat, für Sachsen-Anhalt und für Deutschland tun.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Gemeinsam wollen wir in Sachsen, Brandenburg und Thüringen die fatale Politik der Altparteien korrigieren.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migranten sind überproportional oft kriminell.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: „Die Grünen sind keine ausländerfeindliche Partei. Wir sehen uns viel mehr als eine inländerfreundliche Alternative.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Für uns kann es ohne Nationalstaat keinen Sozialstaat geben und ohne nationale Solidarität keine soziale Solidarität.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Wer soll in Zukunft für die Renten aufkommen? Wer zahlt denn die stattlichen Pensionen der Staatsbediensteten? Etwa die eingewanderten Menschen?""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration bringt großen Mehrwert in verschiedenen Bereichen unserer Gesellschaft.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?",Wie alt sind Sie?,Ihr Geschlecht,Was ist Ihr höchster Bildungsabschluss?,"Haben Sie, Ihre Eltern oder Großeltern eine Migrationsgeschichte?",Was ist Ihre ethnische Zugehörigkeit?,"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich die folgende Aussage: ""Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein""","Wie bewerten Sie persönlich die folgende Aussage: ""In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsangehörigkeit zu haben.""","Wie bewerten Sie persönlich die folgende Aussage: ""Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Asyl soll weiterhin nur politisch Verfolgten gewährt werden.  """
7/31/2023 16:31:50,1,1,1,3,1,5,3,3,3,1,2,1,1,5,42,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
7/31/2023 16:35:59,1,1,1,4,1,4,1,2,3,1,2,3,1,4,33,Weiblich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
7/31/2023 16:37:58,1,2,1,3,1,4,3,3,2,1,1,3,3,4,27,Weiblich,Abitur,Nein,Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/21/2023 13:51:53,1,1,1,3,1,4,3,3,1,2,2,1,2,4,25,Divers,Realschule,Nein,Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/21/2023 13:54:28,2,2,3,4,2,4,3,3,3,1,3,3,1,5,33,Männlich,Studium,Nein,Weiß,VOLT,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,Ich stimme zu
8/21/2023 13:54:47,1,2,1,5,2,5,2,3,2,1,2,3,2,5,23,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/21/2023 13:57:53,5,4,3,5,3,3,5,5,5,3,3,4,2,3,25,Weiblich,Realschule,Nein,Asiatisch,AfD,Ich stimme zu,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu
8/21/2023 13:59:37,1,1,1,5,2,4,3,3,3,3,2,2,2,4,28,Männlich,Realschule,Nein,Weiß,Keine Angabe,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu,Ich stimme zu
8/21/2023 14:02:04,1,1,2,4,1,5,2,3,2,1,1,3,1,5,43,Männlich,Realschule,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Volt,Ich stimme nicht zu,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme zu
8/21/2023 14:04:51,2,2,1,5,3,5,4,4,3,3,4,3,2,5,19,Männlich,Abitur,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Keine Angabe,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme zu
8/21/2023 14:08:42,1,2,1,5,3,5,1,3,3,1,3,3,3,5,30,Männlich,Realschule,"Ja, mindestens eine:r meiner Großeltern ist nach Deutschland migriert.",Weiß,FDP,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu
8/21/2023 14:08:46,1,1,1,5,2,5,2,3,3,1,2,2,5,5,31,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,Keine Angabe,Neutral,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/21/2023 14:09:48,1,3,1,5,1,5,3,3,3,1,3,3,3,5,30,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/21/2023 14:13:28,3,1,1,4,3,5,3,3,3,1,2,2,3,5,39,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,In Deutschland darf ich nicht wählen,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/21/2023 14:13:31,2,2,1,3,2,5,3,3,2,2,2,2,1,4,26,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Neutral,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu
8/21/2023 14:13:57,2,2,1,5,2,5,3,3,3,2,2,3,2,5,22,Weiblich,Abitur,Nein,Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/21/2023 14:16:33,3,2,1,5,2,4,3,3,3,2,2,3,4,5,28,Männlich,Abitur,Nein,Weiß,Piratenpartei,Ich stimme zu,Neutral,Neutral,Neutral,Ich stimme zu
8/21/2023 14:16:51,2,2,1,5,1,5,3,2,3,2,2,3,2,5,24,Weiblich,Studium,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu,Ich stimme zu
8/21/2023 14:18:50,1,1,1,3,1,4,3,3,3,3,3,2,2,5,41,Weiblich,Realschule,"Ja, mindestens eine:r meiner Großeltern ist nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/21/2023 14:21:12,2,1,1,5,2,5,3,3,3,2,2,2,1,5,42,Weiblich,Abitur,Nein,Weiß,Grüne,Ich stimme nicht zu,Neutral,Ich stimme zu,Ich stimme zu,Neutral
8/21/2023 14:21:56,1,1,1,5,1,5,1,3,2,2,2,3,1,5,38,Divers,Studium,Nein,Weiß,SPD,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,Ich stimme zu
8/21/2023 14:24:03,1,2,2,5,1,5,3,3,3,1,3,3,3,5,26,Weiblich,Abitur,Nein,Weiß,Keine Angabe,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Ich stimme zu
8/21/2023 14:29:17,4,3,4,1,3,2,3,3,3,4,3,4,3,1,33,Weiblich,Abitur,"Ja, ich bin nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Neutral
