Timestamp,"Ein Grünen-Politiker sagt: ''Niemand ist rechtspopulistisch, wenn er nicht nachts die Straßenseite wechseln will, weil ihm gegen das Gesetz eingewanderte Menschen den Weg versperren."" 

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ''Einen neuen Mercedes? Den können sich in Deutschland eben nur noch Neubürger leisten.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration ist die Mutter aller Probleme.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Viele gemäßigte Muslime leben rechtstreu sowie integriert und sind akzeptierte und geschätzte Mitglieder unserer Gesellschaft.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Deutschland verarmt, aber die Organisationen, die Flüchtlinge unterstützen, schwimmen in Geld.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""In Deutschland herrscht ein großer Fachkräftemangel. Migration bringt uns viele Fachkräfte, die wir dringend brauchen.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Ursachen für Flucht wie Krieg, Umweltfaktoren und Armut sind zu beseitigen, damit die Menschen nicht nach Europa und Deutschland flüchten müssen.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Im Brustton voller Überzeugung sage ich: Ja, alles für unsere Heimat. Alles für Sachsen-Anhalt. Alles für Deutschland.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Gemeinsam schaffen wir eine Freiheitszone, in der die fatale Politik der Altparteien korrigiert wird.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migranten sind überproportional oft kriminell.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: „Die AfD sind keine ausländerfeindliche Partei. Wir sehen uns viel mehr als eine Alternative, die sich für die Bedürfnisse der Menschen innerhalb Deutschlands einsetzt.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Für uns kann es ohne Nationalstaat keinen Sozialstaat geben und ohne Solidarität innerhalb Deutschlands keine soziale Solidarität.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Wer soll in Zukunft für die Renten aufkommen? Wer zahlt denn Ihre stattlichen Pensionen? Ihre eingewanderten Goldstücke etwa?""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration bringt großen Mehrwert in verschiedenen Bereichen unserer Gesellschaft.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?",Wie alt sind Sie?,Ihr Geschlecht,Was ist Ihr höchster Bildungsabschluss?,"Haben Sie, Ihre Eltern oder Großeltern eine Migrationsgeschichte?",Was ist Ihre ethnische Zugehörigkeit?,"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich die folgende Aussage: ""Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein""","Wie bewerten Sie persönlich die folgende Aussage: ""In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsangehörigkeit zu haben.""","Wie bewerten Sie persönlich die folgende Aussage: ""Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Asyl soll weiterhin nur politisch Verfolgten gewährt werden.  """
8/7/2023 18:20:48,2,1,1,4,1,5,3,2,3,1,1,3,1,5,31,Weiblich,Studium,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 18:25:36,1,4,5,5,5,5,1,3,3,1,5,5,1,5,28,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Neutral
8/7/2023 18:25:46,3,3,1,5,2,4,3,2,3,1,3,4,2,4,23,Männlich,Studium,Nein,Weiß,FDP,Neutral,Ich stimme zu,Neutral,Ich stimme zu,Ich stimme zu
8/7/2023 18:27:18,2,1,1,4,1,5,2,1,3,1,1,3,1,5,33,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/7/2023 18:38:28,3,1,1,3,1,5,2,1,3,2,2,2,1,5,42,Weiblich,Realschule,"Ja,  mindestens eine:r meiner Großeltern ist nach Deutschland migriert.",Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/22/2023 12:09:47,4,2,4,3,2,4,2,4,4,4,2,4,4,4,21,Männlich,Abitur,"Ja, ich bin nach Deutschland migriert.",Asiatisch,Grüne,Ich stimme zu,Neutral,Ich stimme zu,Ich stimme zu,Neutral
8/22/2023 12:15:02,3,2,1,4,2,4,4,3,4,2,2,3,1,5,23,Weiblich,Abitur,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/22/2023 12:27:19,1,2,1,4,2,4,4,3,3,1,3,3,1,1,35,Männlich,Studium,"Ja,  mindestens eine:r meiner Großeltern ist nach Deutschland migriert.",Weiß,Keine Angabe,Neutral,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme zu
8/22/2023 12:27:25,3,4,2,2,4,3,2,4,3,3,2,4,4,2,38,Männlich,Studium,Nein,Person of Color,FDP,Neutral,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral
8/22/2023 12:28:23,3,1,1,4,2,4,3,2,3,1,3,3,1,5,44,Weiblich,Studium,Nein,Weiß,AfD,Ich stimme zu,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu
8/22/2023 12:36:23,3,1,1,5,1,5,3,2,3,3,2,4,2,5,18,Männlich,Realschule,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/22/2023 12:42:44,3,2,1,3,2,5,3,3,3,4,3,2,1,4,22,Männlich,Abitur,Nein,Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Neutral,Ich stimme zu,Neutral
8/22/2023 12:44:16,4,1,2,5,1,5,3,1,3,3,3,3,1,5,26,Weiblich,Studium,Nein,Weiß,Grüne,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme zu
8/22/2023 12:48:38,2,2,1,4,3,5,4,4,4,3,4,5,2,5,34,Männlich,Abitur,Nein,Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu
8/22/2023 12:50:34,2,3,1,5,2,5,3,2,3,1,3,4,2,5,26,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,Linke,Ich stimme nicht zu,Ich stimme zu,Neutral,Ich stimme zu,Ich stimme zu
8/22/2023 12:53:48,4,5,4,1,1,5,3,1,3,2,3,3,2,5,24,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme zu
8/22/2023 13:02:23,4,1,1,5,1,5,3,3,3,2,3,3,1,5,19,Weiblich,Abitur,"Ja, ich bin nach Deutschland migriert.",Gemischt,Keine Angabe,Ich stimme nicht zu,Neutral,Ich stimme zu,Ich stimme zu,Neutral
8/22/2023 13:04:58,2,2,2,4,1,5,3,3,3,1,3,3,1,5,60,Weiblich,Abitur,Nein,Weiß,SPD,Ich stimme nicht zu,Neutral,Neutral,Neutral,Ich stimme nicht zu
8/22/2023 13:05:21,3,1,2,5,3,3,5,3,3,3,2,3,2,5,60,Weiblich,Realschule,Nein,Weiß,CDU,Neutral,Ich stimme zu,Ich stimme nicht zu,Neutral,Ich stimme zu
8/22/2023 13:07:36,2,1,2,3,1,5,4,3,3,1,3,3,1,5,60,Weiblich,Studium,Nein,Weiß,Grüne,Neutral,Neutral,Ich stimme zu,Neutral,Ich stimme nicht zu
8/22/2023 13:25:17,2,3,2,4,2,5,3,1,3,2,3,3,1,5,28,Weiblich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Neutral,Ich stimme zu,Neutral,Ich stimme zu
8/22/2023 13:35:59,3,3,1,5,2,4,3,2,3,1,2,2,3,4,29,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/22/2023 13:38:54,3,2,1,5,1,5,3,2,4,2,3,3,2,5,24,Weiblich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
