Timestamp,"Ein AfD-Politiker sagt: ''Niemand ist rechtspopulistisch, wenn er nicht nachts die Straßenseite wechseln will, weil ihm gegen das Gesetz eingewanderte Menschen den Weg versperren."" 

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ''Einen neuen Mercedes? Den können sich in Deutschland eben nur noch Neubürger leisten.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration ist die Mutter aller Probleme.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Viele gemäßigte Muslime leben rechtstreu sowie integriert und sind akzeptierte und geschätzte Mitglieder unserer Gesellschaft.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Deutschland verarmt, aber die Organisationen, die Flüchtlinge unterstützen, schwimmen in Geld.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""In Deutschland herrscht ein großer Fachkräftemangel. Migration bringt uns viele Fachkräfte, die wir dringend brauchen.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Ursachen für Flucht wie Krieg, Umweltfaktoren und Armut sind zu beseitigen, damit die Menschen nicht nach Europa und Deutschland flüchten müssen.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Im Brustton voller Überzeugung sage ich: Ja, alles für unsere Heimat. Alles für Sachsen-Anhalt. Alles für Deutschland.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Gemeinsam schaffen wir eine Freiheitszone, in der die fatale Politik der Altparteien korrigiert wird.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migranten sind überproportional oft kriminell.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: „Die Grünen sind keine ausländerfeindliche Partei. Wir sehen uns viel mehr als eine Alternative, die sich für die Bedürfnisse der Menschen innerhalb Deutschlands einsetzt.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein AfD-Politiker sagt: ""Für uns kann es ohne Nationalstaat keinen Sozialstaat geben und ohne Solidarität innerhalb Deutschlands keine soziale Solidarität.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein Grünen-Politiker sagt: ""Wer soll in Zukunft für die Renten aufkommen? Wer zahlt denn Ihre stattlichen Pensionen? Ihre eingewanderten Goldstücke etwa?""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?","Ein SPD-Politiker sagt: ""Migration bringt großen Mehrwert in verschiedenen Bereichen unserer Gesellschaft.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?",Wie alt sind Sie?,Ihr Geschlecht,Was ist Ihr höchster Bildungsabschluss?,"Haben Sie, Ihre Eltern oder Großeltern eine Migrationsgeschichte?",Was ist Ihre ethnische Zugehörigkeit?,"Wenn am Sonntag Bundestagswahl wäre, welche Partei würden Sie wählen?","Wie bewerten Sie persönlich die folgende Aussage: ""Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein""","Wie bewerten Sie persönlich die folgende Aussage: ""In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsangehörigkeit zu haben.""","Wie bewerten Sie persönlich die folgende Aussage: ""Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden.""","Wie bewerten Sie persönlich die folgende Aussage: ""Asyl soll weiterhin nur politisch Verfolgten gewährt werden.  """
8/7/2023 15:32:15,1,1,1,4,1,5,3,1,3,1,1,1,1,5,28,Weiblich,Studium,"Ja, mindestens eine:r meiner Großeltern ist nach Deutschland migriert.",Jüdisch,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu,Ich stimme nicht zu
8/7/2023 15:33:14,1,2,1,4,3,5,2,2,2,3,4,2,1,5,30,Weiblich,Studium,Nein,Weiß,Grüne,Neutral,Ich stimme nicht zu,Neutral,Neutral,Ich stimme zu
8/7/2023 15:42:53,1,3,1,5,3,5,3,1,1,1,3,3,1,5,41,Männlich,Studium,Nein,Weiß,CDU,Ich stimme zu,Ich stimme nicht zu,Neutral,Ich stimme nicht zu,Ich stimme zu
8/7/2023 16:01:15,2,5,1,5,4,5,1,4,1,1,3,2,3,5,20,Weiblich,Abitur,"Ja, ich bin nach Deutschland migriert.",Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,Ich stimme zu
8/22/2023 10:42:39,1,1,1,3,1,5,3,1,2,1,3,1,1,5,29,Divers,Abitur,Nein,Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/22/2023 10:51:01,3,1,1,5,1,5,3,2,3,1,1,2,4,5,47,Männlich,Studium,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Ich stimme zu
8/22/2023 10:52:31,3,2,4,2,2,1,1,4,3,3,3,3,2,5,22,Männlich,Abitur,Nein,Weiß,Keine Angabe,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/22/2023 10:53:24,2,2,1,1,3,4,2,4,1,3,2,3,1,4,22,Weiblich,Abitur,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Neutral,Ich stimme zu,Neutral
8/22/2023 10:54:13,1,1,1,3,1,5,2,2,3,1,4,2,1,5,42,Weiblich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Neutral
8/22/2023 10:58:16,1,1,1,3,1,4,4,3,4,1,2,1,1,4,26,Weiblich,Studium,Nein,Weiß,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/22/2023 11:03:11,1,2,1,4,1,1,3,3,3,2,2,2,1,5,24,Männlich,Abitur,Nein,Weiß,Linke,Neutral,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/22/2023 11:04:16,2,2,2,2,2,5,3,3,3,2,4,2,1,5,21,Männlich,Abitur,Nein,Weiß,FDP,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu,Ich stimme nicht zu
8/22/2023 11:05:20,2,2,2,5,3,5,3,4,3,3,3,4,3,3,26,Männlich,Abitur,Nein,Weiß,Keine Angabe,Neutral,Ich stimme zu,Neutral,Neutral,Ich stimme zu
8/22/2023 11:07:02,3,3,3,3,3,3,3,3,3,3,3,3,3,3,27,Männlich,Studium,Nein,Weiß,AfD,Neutral,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral
8/22/2023 11:10:06,1,2,1,4,1,5,3,3,3,4,3,3,1,5,28,Männlich,Studium,Nein,Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu
8/22/2023 11:11:14,1,3,1,4,3,5,3,2,3,2,4,3,2,5,31,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Weiß,Linke,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Neutral
8/22/2023 11:12:45,2,5,2,5,2,4,5,4,3,2,4,4,2,4,27,Weiblich,Studium,Nein,Weiß,SPD,Ich stimme zu,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Ich stimme zu
8/22/2023 11:13:53,1,1,1,4,2,5,3,2,2,1,2,2,2,5,28,Keine der oben genannten Optionen,Studium,"Ja, mindestens ein Elternteil ist nach Deutschland migriert.",Weiß,Grüne,Ich stimme nicht zu,Neutral,Ich stimme zu,Ich stimme zu,Neutral
8/22/2023 11:15:01,3,1,1,5,3,5,3,2,2,1,2,2,1,5,21,Männlich,Studium,Nein,Weiß,Grüne,Ich stimme nicht zu,Ich stimme zu,Neutral,Neutral,Neutral
8/22/2023 11:15:31,1,1,1,5,2,5,4,3,3,2,2,3,1,5,33,Männlich,Abitur,Nein,Weiß,Grüne,Neutral,Neutral,Ich stimme nicht zu,Ich stimme nicht zu,Ich stimme nicht zu
8/22/2023 11:21:17,2,1,1,4,2,5,3,3,3,1,2,3,1,5,28,Männlich,Studium,"Ja, ich bin nach Deutschland migriert.",Person of Color,SPD,Ich stimme nicht zu,Ich stimme zu,Ich stimme zu,Neutral,Ich stimme nicht zu
8/22/2023 11:26:09,1,3,1,5,3,5,4,3,3,1,5,3,1,5,24,Weiblich,Studium,"Ja, ich bin nach Deutschland migriert.",Asiatisch,Keine Angabe,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Neutral,Ich stimme nicht zu
8/22/2023 11:26:12,2,2,1,5,2,5,3,3,3,3,3,3,2,5,42,Weiblich,Studium,Nein,Weiß,FDP,Ich stimme zu,Ich stimme zu,Ich stimme nicht zu,Neutral,Ich stimme zu
8/22/2023 11:30:01,2,2,3,3,2,4,3,2,2,3,4,2,2,4,31,Weiblich,Studium,Nein,Weiß,Grüne,Neutral,Ich stimme nicht zu,Ich stimme zu,Ich stimme nicht zu,Ich stimme zu
